Task,Start,End
First day!,1/28/19,NA
"Puzzles, <a href = ""http://ohi-science.org/data-science-training/"">reading about open data science practices</a>, and <a href =""https://rawgit.com/OHI-Science/ohi-global/draft/global_supplement/Supplement.html#1_the_theory"">OHI Methods</a>.",1/28/19,2/8/19
"OHI philosophy and scores exercise, creating personal websites in R markdown",2/11/19,2/24/19
"<a href = ""http://jafflerbach.github.io/spatial-analysis-R/"">Training spatial analysis in R with Jamie!</a> ",2/25/19,NA
Worked on and finished AO prep script,2/25/19,3/4/19
"Began creating <a href = ""http://ohi-science.org/ohi-global-guide/"">OHI Global Bookdown Guide</a>",3/4/19,3/11/19
Updating World Governance Indicator pressure data (Molly),3/11/19,3/18/19
Updating /researching LSP data (Gage),3/11/19,4/15/19
Iconic Species data prep and update (Molly),4/1/19,5/6/19
Species subgoal (Gage),4/22/19,5/17/19
Coastal population (mariculture pressure) (Molly),5/6/19,6/10/19
Targeted species pressure (Molly),5/20/19,5/31/19
Mariculture subgoal (Gage),5/29/19,8/6/19
Natural products goal (Molly),6/3/19,8/19/19
First blog post!,6/25/19,6/25/19
Sea Ice data prep (Gage),6/27/19,8/12/19
Sea Level Rise data prep (Gage),6/27/19,8/14/19
Travel warnings (Gage and Molly),7/1/19,7/15/19
Tourism and recreation (Molly),7/2/19,7/22/19
Fisheries pressure (Gage),7/2/19,8/14/19
Fisheries Management Index (Molly),7/12/19,8/22/19
"Habitat; seagrass, saltmarsh, coral",7/12/19,8/1/19
Reviewing assessment scores (Gage and Molly),7/17/19,10/9/19
UV Pressures (Gage),7/31/19,87/6/19
CW: marine debris and pathogens (Molly),8/6/19,8/21/19
Fisheries subgoal (Gage),8/19/19,10/16/19
Second blog post! ,8/20/19,8/20/19
SPI (Gage),9/27/19,10/2/19
Food Provision (Gage),10/16/19,10/16/19
